rank,trial_id,success_rate,collision_rate,out_of_bounds_rate,avg_episode_length,action_violation_rate
1,trial_0013,1.0,0.0,0.0,26.0,0.0
2,trial_0014,1.0,0.0,0.0,26.0,0.0
3,trial_0015,1.0,0.0,0.0,26.0,0.0
4,trial_0016,1.0,0.0,0.0,26.0,0.0
5,trial_0017,1.0,0.0,0.0,26.0,0.0
6,trial_0018,1.0,0.0,0.0,26.0,0.0
7,trial_0007,1.0,0.0,0.0,29.0,0.0
8,trial_0008,1.0,0.0,0.0,29.0,0.0
9,trial_0009,1.0,0.0,0.0,29.0,0.0
10,trial_0010,1.0,0.0,0.0,29.0,0.0
11,trial_0011,1.0,0.0,0.0,29.0,0.0
12,trial_0012,1.0,0.0,0.0,29.0,0.0
13,trial_0001,1.0,0.0,0.0,32.0,0.0
14,trial_0002,1.0,0.0,0.0,32.0,0.0
15,trial_0003,1.0,0.0,0.0,32.0,0.0
16,trial_0004,1.0,0.0,0.0,32.0,0.0
17,trial_0005,1.0,0.0,0.0,32.0,0.0
18,trial_0006,1.0,0.0,0.0,32.0,0.0
