event,step,episode,reward_mean,actor_loss,critic_loss,evaluation_primary,episode_reward,episode_length,episode_success,kl_divergence
evaluation,0,0,,,,0.0,,,,
episode,13,1,-1.9909551582708955,,,,-1.9909551582708955,13,0,
episode,77,2,-8.015036776542663,,,,-14.03911839481443,64,0,
episode,92,3,-6.104007637813687,,,,-2.281949360355735,15,0,
episode,150,4,-8.414971617883538,,,,-15.347863558093085,58,0,
episode,165,5,-7.152706715840475,,,,-2.1036471076682206,15,0,
episode,229,6,-8.41021088722422,,,,-14.697731744142947,64,0,
episode,302,7,-9.211625749913845,,,,-14.020114926051585,73,0,
episode,365,8,-9.908043302206964,,,,-14.782966168258808,63,0,
episode,430,9,-10.474773046482717,,,,-15.008611000688749,65,0,
episode,489,10,-10.901658147131059,,,,-14.74362405296613,59,0,
episode,600,11,-12.340293307647725,,,,-16.377306763437574,111,0,
optimizer_update,600,11,,-0.02252741497941315,1.8222412344068288,,,,,0.025601784116588533
evaluation,600,11,,,,0.0,,,,
episode,681,12,-12.427388625950005,,,,-14.910071577837222,81,0,
episode,694,13,-12.412029669995245,,,,-2.1283598008081315,13,0,
episode,836,14,-12.2089918083712,,,,-13.317484941852634,142,0,
episode,929,15,-13.43995720587906,,,,-14.413301082746825,93,0,
episode,1026,16,-13.157621231969056,,,,-11.874372005042913,97,0,
evaluation,1026,16,,,,0.0,,,,
episode,1178,17,-13.105567221660033,,,,-13.499574822961353,152,0,
optimizer_update,1178,17,,-0.06797771104611457,0.7974106526933611,,,,,0.02135039765853435
episode,1196,18,-11.847860445711396,,,,-2.205898408772424,18,0,
episode,1221,19,-10.553099772270402,,,,-2.061004266278818,25,0,
episode,1236,20,-9.273343838851567,,,,-1.9460647187777793,15,0,
episode,1394,21,-8.70780896986741,,,,-10.721958073596003,158,0,
episode,1526,22,-8.81088613237454,,,,-15.940843202908528,132,0,
evaluation,1526,22,,,,0.0,,,,
episode,1624,23,-10.025515119822458,,,,-14.274649675287305,98,0,
episode,1740,24,-9.901485385233544,,,,-12.077187595963476,116,0,
optimizer_update,1740,24,,-0.02103872850744261,0.6827986670864953,,,,,0.024559244798082445
episode,1753,25,-8.657794940843834,,,,-1.97639663884975,13,0,
episode,1897,26,-8.42692711392172,,,,-9.565693735821753,144,0,
episode,1917,27,-7.304873658401019,,,,-2.2790402677543464,20,0,
episode,1930,28,-7.2769006568194,,,,-1.9261683929562567,13,0,
episode,1944,29,-7.269339659550658,,,,-1.98539429359138,14,0,
episode,1957,30,-7.280395769629079,,,,-2.056625819562003,13,0,
episode,2081,31,-7.211435514259675,,,,-10.03235551990196,124,0,
evaluation,2081,31,,,,0.0,,,,
episode,2207,32,-5.581490855411684,,,,0.35860338557139126,126,0,
episode,2231,33,-4.374026128058298,,,,-2.200002401753445,24,0,
episode,2431,34,-3.9295090941727393,,,,-7.632017257107887,200,0,
optimizer_update,2431,34,,-0.01656172270039943,0.5849486284635284,,,,,0.028918000774204054
episode,2495,35,-4.596535063940915,,,,-8.64665633653151,64,0,
episode,2637,36,-4.81641279477632,,,,-11.7644710441758,142,0,
evaluation,2637,36,,,,0.0,,,,
episode,2650,37,-4.796155307507946,,,,-2.0764653950706125,13,0,
episode,2730,38,-5.5512602698328095,,,,-9.47721801620489,80,0,
episode,2747,39,-5.55538020871972,,,,-2.026593682460487,17,0,
episode,2810,40,-5.738675885619655,,,,-3.8895825885613444,63,0,
episode,2880,41,-5.730516535509996,,,,-9.95076201880537,70,0,
episode,2935,42,-4.7390088830827395,,,,10.27367990984395,55,1,
episode,2998,43,-5.4046929285652485,,,,-8.856842856578528,63,0,
optimizer_update,2998,43,,-0.015792074820233717,2.1141578124629126,,,,,0.015937948088523828
episode,3172,44,-4.9493289884465295,,,,-3.0783778559207,174,0,
evaluation,3172,44,,,,0.0,,,,
episode,3372,45,-4.907015728803586,,,,-8.22352374010207,200,0,
episode,3454,46,-3.8716696025600195,,,,-1.4110097817401401,82,0,
episode,3468,47,-3.85748630204401,,,,-1.9346323899105191,14,0,
episode,3614,48,-4.1446157601536715,,,,-12.348512597301507,146,0,
optimizer_update,3614,48,,-0.016405618749558926,1.3093255147337914,,,,,0.025462863023858518
evaluation,3614,48,,,,1.0,,,,
episode,3712,49,-4.36498672344624,,,,-4.230303315386176,98,0,
episode,3723,50,-4.18075940601835,,,,-2.047309414282441,11,0,
episode,3805,51,-4.074465361124556,,,,-8.887821569867432,82,0,
episode,3942,52,-5.485143994049542,,,,-3.8331064194058997,137,0,
episode,4051,53,-5.529842962508649,,,,-9.303832541169598,109,0,
evaluation,4051,53,,,,1.0,,,,
episode,4108,54,-6.127119921193131,,,,-9.051147442765533,57,0,
episode,4155,55,-4.26753698766178,,,,10.372305595211452,47,1,
optimizer_update,4155,55,,-0.0058539617910153335,2.907246642642551,,,,,0.01082475013875713
episode,4210,56,-3.127088242152717,,,,9.993477673350483,55,1,
episode,4263,57,-3.82525979428665,,,,-8.916347911249847,53,0,
episode,4305,58,-2.7984644178923803,,,,-2.0805588333588094,42,0,
episode,4319,59,-2.59080111711953,,,,-2.1536703076576815,14,0,
episode,4519,60,-3.177626419024414,,,,-7.915562433331274,200,0,
evaluation,4519,60,,,,1.0,,,,
episode,4635,61,-3.2097756522336156,,,,-9.209313901959451,116,0,
episode,4835,62,-2.981213684788032,,,,-1.5474867449500598,200,0,
optimizer_update,4835,62,,-0.009375410958785902,2.7014898766170847,,,,,0.019349578556350687
episode,4867,63,-0.9961151055576863,,,,10.54715325113386,32,1,
episode,4979,64,-1.1423554243947498,,,,-10.51355063113617,112,0,
episode,4999,65,-2.379213970702782,,,,-1.9962798678688707,20,0,
episode,5083,66,-2.364207278575515,,,,10.143544594623148,84,1,
evaluation,5083,66,,,,1.0,,,,
episode,5185,67,-1.4722404252432755,,,,0.003320622072555901,102,0,
episode,5201,68,-1.493301445512334,,,,-2.291169036049396,16,0,
episode,5242,69,-0.23362474372261222,,,,10.443096710239537,41,1,
episode,5442,70,0.37347908293358045,,,,-1.8445241667693484,200,0,
optimizer_update,5442,70,,-0.02124768968205899,3.6147452652454377,,,,,0.021044754690956326
episode,5495,71,2.295270624215528,,,,10.008601510860025,53,1,
episode,5526,72,3.5045855480354744,,,,10.545662493249402,31,1,
evaluation,5526,72,,,,1.0,,,,
episode,5583,73,3.4899682044551703,,,,10.400979815330821,57,1,
episode,5727,74,5.483068204751832,,,,9.417449371830443,144,1,
episode,5774,75,6.726921440169809,,,,10.442252486310899,47,1,
episode,5974,76,5.5035781586563335,,,,-2.0898882205116087,200,0,
optimizer_update,5974,76,,-0.003884025021559662,3.5058890680472055,,,,,0.022162460282237992
episode,6000,77,5.887011836796731,,,,3.8376574034765367,26,0,
optimizer_update,6000,77,,-0.011539693921804428,5.505688786506653,,,,,0.0037781618034037345
evaluation,6000,77,,,,1.0,,,,
