rank,trial_id,feasible,success_rate,collision_rate,out_of_bounds_rate,avg_episode_length,action_violation_rate,decision,hypothesis
1,trial_0013,true,1.0,0.0,0.0,35.333333333333336,0.0,promote,"speed_scale=1.4, intercept_gain=0.55, safety_margin=0.7 will rebalance timeout risk and interception pressure"
2,trial_0015,true,1.0,0.0,0.0,35.333333333333336,0.0,promote,"speed_scale=1.4, intercept_gain=0.75, safety_margin=0.7 will rebalance timeout risk and interception pressure"
3,trial_0017,true,1.0,0.0,0.0,35.333333333333336,0.0,promote,"speed_scale=1.4, intercept_gain=0.95, safety_margin=0.7 will rebalance timeout risk and interception pressure"
4,trial_0007,true,1.0,0.0,0.0,37.0,0.0,promote,"speed_scale=1.3, intercept_gain=0.55, safety_margin=0.7 will rebalance timeout risk and interception pressure"
5,trial_0009,true,1.0,0.0,0.0,37.666666666666664,0.0,promote,"speed_scale=1.3, intercept_gain=0.75, safety_margin=0.7 will rebalance timeout risk and interception pressure"
6,trial_0011,true,1.0,0.0,0.0,37.666666666666664,0.0,promote,"speed_scale=1.3, intercept_gain=0.95, safety_margin=0.7 will rebalance timeout risk and interception pressure"
7,trial_0001,true,1.0,0.0,0.0,39.0,0.0,promote,"speed_scale=1.2, intercept_gain=0.55, safety_margin=0.7 will rebalance timeout risk and interception pressure"
8,trial_0005,true,1.0,0.0,0.0,39.333333333333336,0.0,promote,"speed_scale=1.2, intercept_gain=0.95, safety_margin=0.7 will rebalance timeout risk and interception pressure"
9,trial_0003,true,1.0,0.0,0.0,39.666666666666664,0.0,promote,"speed_scale=1.2, intercept_gain=0.75, safety_margin=0.7 will rebalance timeout risk and interception pressure"
10,trial_0008,true,1.0,0.0,0.0,49.0,0.0,promote,"speed_scale=1.3, intercept_gain=0.55, safety_margin=1.0 will rebalance timeout risk and interception pressure"
11,trial_0002,true,1.0,0.0,0.0,50.666666666666664,0.0,promote,"speed_scale=1.2, intercept_gain=0.55, safety_margin=1.0 will rebalance timeout risk and interception pressure"
12,trial_0014,true,1.0,0.0,0.0,52.666666666666664,0.0,promote,"speed_scale=1.4, intercept_gain=0.55, safety_margin=1.0 will rebalance timeout risk and interception pressure"
13,trial_0010,true,1.0,0.0,0.0,56.666666666666664,0.0,promote,"speed_scale=1.3, intercept_gain=0.75, safety_margin=1.0 will rebalance timeout risk and interception pressure"
14,trial_0016,true,1.0,0.0,0.0,61.0,0.0,promote,"speed_scale=1.4, intercept_gain=0.75, safety_margin=1.0 will rebalance timeout risk and interception pressure"
15,trial_0004,true,1.0,0.0,0.0,62.666666666666664,0.0,promote,"speed_scale=1.2, intercept_gain=0.75, safety_margin=1.0 will rebalance timeout risk and interception pressure"
16,trial_0006,false,0.6666666666666666,0.3333333333333333,0.0,77.33333333333333,0.0,continue,"speed_scale=1.2, intercept_gain=0.95, safety_margin=1.0 will rebalance timeout risk and interception pressure"
17,trial_0018,false,0.3333333333333333,1.0,0.0,63.0,0.0,continue,"speed_scale=1.4, intercept_gain=0.95, safety_margin=1.0 will rebalance timeout risk and interception pressure"
18,trial_0012,false,0.0,1.0,0.0,72.0,0.0,continue,"speed_scale=1.3, intercept_gain=0.95, safety_margin=1.0 will rebalance timeout risk and interception pressure"
