rank,trial_id,feasible,team_score,blue_team_score,score_margin,red_win_rate,collision_rate,out_of_bounds_rate,action_violation_rate,avg_episode_length,primary_std,decision
1,trial_0001,true,4.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,1200.000000,0.000000,promote
2,trial_0002,true,4.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,1200.000000,0.000000,promote
3,trial_0003,true,4.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,1200.000000,0.000000,promote
4,trial_0004,true,4.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,1200.000000,0.000000,promote
5,trial_0005,true,4.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,1200.000000,0.000000,promote
6,trial_0006,true,4.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,1200.000000,0.000000,promote
7,trial_0007,true,4.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,1200.000000,0.000000,promote
8,trial_0008,true,4.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,1200.000000,0.000000,promote
9,trial_0011,false,4.000000,0.000000,4.000000,0.000000,1.000000,0.000000,0.000000,192.000000,0.000000,rollback
10,trial_0012,false,4.000000,0.000000,4.000000,0.000000,1.000000,0.000000,0.000000,192.000000,0.000000,rollback
11,trial_0009,false,4.000000,0.000000,4.000000,0.000000,1.000000,0.000000,0.000000,259.000000,0.000000,rollback
12,trial_0010,false,4.000000,0.000000,4.000000,0.000000,1.000000,0.000000,0.000000,259.000000,0.000000,rollback
