rank,trial_id,feasible,team_score,score_margin,blue_team_score,collision_rate,out_of_bounds_rate,action_violation_rate,avg_episode_length,primary_std,decision
1,trial_0006,true,6.000000,2.000000,4.000000,0.000000,0.000000,0.000000,800.000000,3.741657,promote
2,trial_0012,true,3.333333,-3.333333,6.666667,0.000000,0.000000,0.000000,800.000000,1.247219,promote
3,trial_0010,false,7.333333,2.000000,5.333333,0.666667,0.000000,0.000000,621.666667,2.624669,rollback
4,trial_0005,false,6.333333,-1.333333,7.666667,1.000000,0.000000,0.000000,506.666667,0.471405,rollback
5,trial_0007,false,5.666667,-1.000000,6.666667,0.666667,0.000000,0.000000,613.333333,2.054805,rollback
6,trial_0001,false,5.666667,-1.666667,7.333333,1.000000,0.000000,0.000000,454.333333,1.247219,rollback
7,trial_0002,false,4.333333,0.666667,3.666667,0.666667,0.000000,0.000000,573.333333,1.699673,rollback
8,trial_0011,false,4.333333,-2.666667,7.000000,0.333333,0.000000,0.000000,689.666667,1.885618,rollback
9,trial_0008,false,4.333333,-3.333333,7.666667,0.666667,0.000000,0.000000,499.000000,0.942809,rollback
10,trial_0009,false,4.000000,-0.666667,4.666667,0.333333,0.000000,0.000000,774.333333,0.816497,rollback
11,trial_0003,false,3.666667,-0.333333,4.000000,0.666667,0.000000,0.000000,505.333333,0.942809,rollback
12,trial_0004,false,3.666667,-1.666667,5.333333,0.666667,0.000000,0.000000,563.666667,0.471405,rollback
