rank,trial_id,feasible,promotion_gate_passed,target_side,red_score,blue_score,blue_utility_minus_red_utility,advantage_score,collision_rate,out_of_bounds_rate,action_violation_rate,avg_episode_length,coupling_load_delta,best_response_gain_side,decision
1,trial_0011,true,true,blue,5.000000,9.000000,4.000000,4.000000,0.000000,0.000000,0.000000,600.000000,2.666667,5.000000,promotion
2,trial_0005,false,false,blue,4.333333,8.666667,4.333333,4.333333,0.333333,0.000000,0.000000,537.333333,,4.666667,rollback
3,trial_0001,false,false,blue,5.333333,9.333333,4.000000,4.000000,0.000000,0.000000,0.000000,600.000000,-0.333333,5.333333,continue
4,trial_0002,false,false,blue,5.666667,9.333333,3.666667,3.666667,0.666667,0.000000,0.000000,487.000000,,5.333333,rollback
5,trial_0004,false,false,blue,5.333333,7.000000,1.666667,1.666667,0.666667,0.000000,0.000000,511.000000,,3.000000,rollback
6,trial_0008,false,false,blue,5.000000,6.666667,1.666667,1.666667,0.666667,0.000000,0.000000,533.666667,,2.666667,rollback
7,trial_0010,false,false,blue,6.000000,7.333333,1.333333,1.333333,0.333333,0.000000,0.000000,597.666667,,3.333333,rollback
8,trial_0007,false,false,blue,5.333333,6.333333,1.000000,1.000000,0.333333,0.000000,0.000000,576.000000,,2.333333,rollback
9,trial_0012,false,false,blue,5.666667,2.333333,-3.333333,-3.333333,0.000000,0.000000,0.000000,600.000000,0.333333,-1.666667,continue
10,trial_0006,false,false,blue,5.666667,1.666667,-4.000000,-4.000000,0.333333,0.000000,0.000000,538.000000,,-2.333333,rollback
11,trial_0003,false,false,blue,5.666667,1.666667,-4.000000,-4.000000,0.333333,0.000000,0.000000,568.000000,,-2.333333,rollback
12,trial_0009,false,false,blue,6.666667,1.333333,-5.333333,-5.333333,0.666667,0.000000,0.000000,521.333333,,-2.666667,rollback
