rank,trial_id,feasible,promotion_gate_passed,target_side,red_score,blue_score,red_utility_minus_blue_utility,advantage_score,collision_rate,out_of_bounds_rate,action_violation_rate,avg_episode_length,primary_std,coupling_load_delta,best_response_gain_side,decision
1,trial_0021,true,true,red,8.666667,8.000000,0.666667,0.666667,0.000000,0.000000,0.000000,600.000000,2.494438,3.000000,3.666667,promotion
2,trial_0015,true,true,red,8.333333,7.333333,1.000000,1.000000,0.000000,0.000000,0.000000,600.000000,1.699673,,3.333333,promotion
3,trial_0018,true,true,red,6.666667,6.000000,0.666667,0.666667,0.000000,0.000000,0.000000,600.000000,0.942809,,1.666667,promotion
4,trial_0006,true,false,red,6.333333,7.333333,-1.000000,-1.000000,0.000000,0.000000,0.000000,600.000000,0.471405,,1.333333,continue
5,trial_0024,true,false,red,6.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600.000000,0.816497,,1.000000,continue
6,trial_0017,true,false,red,5.666667,6.000000,-0.333333,-0.333333,0.000000,0.000000,0.000000,600.000000,1.885618,,0.666667,continue
7,trial_0011,true,false,red,5.333333,7.333333,-2.000000,-2.000000,0.000000,0.000000,0.000000,600.000000,1.699673,,0.333333,continue
8,trial_0020,true,false,red,5.333333,7.666667,-2.333333,-2.333333,0.000000,0.000000,0.000000,600.000000,1.699673,,0.333333,continue
9,trial_0001,true,false,red,5.000000,8.333333,-3.333333,-3.333333,0.000000,0.000000,0.000000,600.000000,1.414214,,0.000000,continue
10,trial_0010,true,false,red,4.333333,6.333333,-2.000000,-2.000000,0.000000,0.000000,0.000000,600.000000,1.885618,,-0.666667,continue
11,trial_0005,true,false,red,4.000000,6.000000,-2.000000,-2.000000,0.000000,0.000000,0.000000,600.000000,1.414214,,-1.000000,continue
12,trial_0013,true,false,red,4.000000,7.000000,-3.000000,-3.000000,0.000000,0.000000,0.000000,600.000000,1.414214,,-1.000000,continue
13,trial_0012,true,false,red,2.000000,8.666667,-6.666667,-6.666667,0.000000,0.000000,0.000000,600.000000,0.816497,,-3.000000,continue
14,trial_0016,true,false,red,1.666667,6.333333,-4.666667,-4.666667,0.000000,0.000000,0.000000,600.000000,0.471405,,-3.333333,continue
15,trial_0014,true,false,red,1.333333,6.333333,-5.000000,-5.000000,0.000000,0.000000,0.000000,600.000000,0.471405,,-3.666667,continue
16,trial_0028,false,false,red,7.333333,6.666667,0.666667,0.666667,0.333333,0.000000,0.000000,507.666667,1.247219,,2.333333,rollback
17,trial_0026,false,false,red,6.333333,7.333333,-1.000000,-1.000000,0.333333,0.000000,0.000000,507.666667,2.494438,,1.333333,rollback
18,trial_0027,false,false,red,6.333333,8.000000,-1.666667,-1.666667,0.333333,0.000000,0.000000,590.000000,0.471405,,1.333333,rollback
19,trial_0022,false,false,red,6.333333,7.666667,-1.333333,-1.333333,0.333333,0.000000,0.000000,593.000000,0.471405,,1.333333,rollback
20,trial_0029,false,false,red,5.666667,8.000000,-2.333333,-2.333333,0.333333,0.000000,0.000000,561.000000,1.247219,,0.666667,rollback
21,trial_0009,false,false,red,5.666667,5.333333,0.333333,0.333333,0.333333,0.000000,0.000000,591.333333,0.471405,,0.666667,rollback
22,trial_0004,false,false,red,5.333333,9.666667,-4.333333,-4.333333,0.333333,0.000000,0.000000,599.333333,1.699673,,0.333333,rollback
23,trial_0019,false,false,red,3.666667,7.666667,-4.000000,-4.000000,0.333333,0.000000,0.000000,589.000000,1.699673,,-1.333333,rollback
24,trial_0002,false,false,red,2.000000,8.000000,-6.000000,-6.000000,0.666667,0.000000,0.000000,533.666667,0.816497,,-3.000000,rollback
25,trial_0003,false,false,red,2.000000,8.000000,-6.000000,-6.000000,0.666667,0.000000,0.000000,537.000000,0.816497,,-3.000000,rollback
26,trial_0023,false,false,red,2.000000,8.000000,-6.000000,-6.000000,0.666667,0.000000,0.000000,555.000000,0.816497,,-3.000000,rollback
27,trial_0007,false,false,red,2.000000,8.333333,-6.333333,-6.333333,0.666667,0.000000,0.000000,562.333333,0.816497,,-3.000000,rollback
28,trial_0008,false,false,red,2.000000,8.666667,-6.666667,-6.666667,0.333333,0.000000,0.000000,575.666667,0.816497,,-3.000000,rollback
29,trial_0025,false,false,red,1.333333,6.333333,-5.000000,-5.000000,0.666667,0.000000,0.000000,591.333333,0.471405,,-3.666667,rollback
