rank,trial_id,feasible,promotion_gate_passed,target_gate_passed,target_side,red_score,blue_score,blue_utility_minus_red_utility,advantage_score,collision_rate,out_of_bounds_rate,action_violation_rate,avg_episode_length,primary_std,coupling_load_delta,best_response_gain_side,decision
1,trial_0007,true,true,true,blue,5.000000,8.333333,3.333333,3.333333,0.000000,0.000000,0.000000,600.000000,1.247219,5.666667,0.333333,promotion
2,trial_0009,true,true,true,blue,5.000000,8.333333,3.333333,3.333333,0.000000,0.000000,0.000000,600.000000,1.247219,,0.333333,promotion
3,trial_0004,true,true,true,blue,6.333333,9.666667,3.333333,3.333333,0.000000,0.000000,0.000000,600.000000,1.247219,,1.666667,promotion
4,trial_0003,true,false,false,blue,6.333333,8.000000,1.666667,1.666667,0.000000,0.000000,0.000000,600.000000,1.247219,,0.000000,continue
5,trial_0010,true,false,false,blue,6.333333,8.000000,1.666667,1.666667,0.000000,0.000000,0.000000,600.000000,3.399346,,0.000000,continue
6,trial_0011,true,false,false,blue,6.333333,8.000000,1.666667,1.666667,0.000000,0.000000,0.000000,600.000000,3.299832,,0.000000,continue
7,trial_0005,true,false,false,blue,6.666667,7.666667,1.000000,1.000000,0.000000,0.000000,0.000000,600.000000,4.320494,,-0.333333,continue
8,trial_0002,true,false,false,blue,5.333333,6.000000,0.666667,0.666667,0.000000,0.000000,0.000000,600.000000,1.247219,,-2.000000,continue
9,trial_0006,true,false,false,blue,6.666667,7.000000,0.333333,0.333333,0.000000,0.000000,0.000000,600.000000,3.299832,,-1.000000,continue
10,trial_0008,true,false,false,blue,9.333333,1.666667,-7.666667,-7.666667,0.000000,0.000000,0.000000,600.000000,2.054805,,-6.333333,continue
11,trial_0012,false,false,false,blue,9.000000,8.666667,-0.333333,-0.333333,0.333333,0.000000,0.000000,575.333333,1.885618,,0.666667,rollback
12,trial_0001,false,false,false,blue,7.333333,2.666667,-4.666667,-4.666667,0.333333,0.000000,0.000000,599.666667,2.054805,,-5.333333,rollback
