rank,trial_id,feasible,promotion_gate_passed,target_gate_passed,target_side,red_score,blue_score,red_utility_minus_blue_utility,advantage_score,collision_rate,out_of_bounds_rate,action_violation_rate,avg_episode_length,primary_std,coupling_load_delta,best_response_gain_side,decision
1,trial_0012,true,false,false,red,9.000000,9.333333,-0.333333,-0.333333,0.000000,0.000000,0.000000,600.000000,2.449490,1.000000,4.000000,continue
2,trial_0002,true,false,false,red,8.000000,9.666667,-1.666667,-1.666667,0.000000,0.000000,0.000000,600.000000,5.099020,,3.000000,continue
3,trial_0014,true,false,false,red,7.333333,8.666667,-1.333333,-1.333333,0.000000,0.000000,0.000000,600.000000,1.247219,,2.333333,continue
4,trial_0017,true,false,false,red,7.333333,9.000000,-1.666667,-1.666667,0.000000,0.000000,0.000000,600.000000,0.471405,,2.333333,continue
5,trial_0001,true,false,false,red,7.000000,8.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,600.000000,0.816497,,2.000000,continue
6,trial_0006,true,false,false,red,6.666667,10.666667,-4.000000,-4.000000,0.000000,0.000000,0.000000,600.000000,0.942809,,1.666667,continue
7,trial_0015,true,false,false,red,6.666667,7.666667,-1.000000,-1.000000,0.000000,0.000000,0.000000,600.000000,3.858612,,1.666667,continue
8,trial_0008,true,false,false,red,6.333333,9.000000,-2.666667,-2.666667,0.000000,0.000000,0.000000,600.000000,2.357023,,1.333333,continue
9,trial_0011,true,false,false,red,6.333333,11.000000,-4.666667,-4.666667,0.000000,0.000000,0.000000,600.000000,0.471405,,1.333333,continue
10,trial_0004,true,false,false,red,6.000000,8.666667,-2.666667,-2.666667,0.000000,0.000000,0.000000,600.000000,4.242641,,1.000000,continue
11,trial_0007,true,false,false,red,4.333333,8.333333,-4.000000,-4.000000,0.000000,0.000000,0.000000,600.000000,2.054805,,-0.666667,continue
12,trial_0010,true,false,false,red,3.333333,8.333333,-5.000000,-5.000000,0.000000,0.000000,0.000000,600.000000,0.471405,,-1.666667,continue
13,trial_0013,true,false,false,red,3.000000,7.000000,-4.000000,-4.000000,0.000000,0.000000,0.000000,600.000000,0.816497,,-2.000000,continue
14,trial_0018,false,false,false,red,6.666667,7.333333,-0.666667,-0.666667,0.333333,0.000000,0.000000,508.000000,2.624669,,1.666667,rollback
15,trial_0016,false,false,false,red,6.333333,7.333333,-1.000000,-1.000000,0.333333,0.000000,0.000000,585.000000,2.054805,,1.333333,rollback
16,trial_0003,false,false,false,red,6.000000,10.000000,-4.000000,-4.000000,0.333333,0.000000,0.000000,589.000000,2.449490,,1.000000,rollback
17,trial_0009,false,false,false,red,5.666667,6.000000,-0.333333,-0.333333,0.333333,0.000000,0.000000,434.666667,3.299832,,0.666667,rollback
18,trial_0005,false,false,false,red,5.000000,8.000000,-3.000000,-3.000000,0.333333,0.000000,0.000000,492.000000,2.160247,,0.000000,rollback
